tconst,titleType,primaryTitle,startYear,endYear,genres,averageRating,numVotes,title_x,imdb_url,title_y
tt0088655,tvMiniSeries,AD Police Files,1990,1990,"Animation,Crime,Horror",6.6,1169,['AD Police Files'],https://www.imdb.com/title/tt0088655/,AD Police Files
tt1283286,movie,I skog och mark,1990,,Animation,4.7,18,['I skog och mark'],https://www.imdb.com/title/tt1283286/,I skog och mark
tt0097558,short,Ident,1990,,"Animation,Short",6.5,260,['Ident'],https://www.imdb.com/title/tt0097558/,Ident
tt0097966,short,Next,1990,,"Animation,Short",7.3,305,['Next'],https://www.imdb.com/title/tt0097966/,Next
tt0098426,movie,Srkny s papucs,1990,,Animation,6.9,256,['Srkny s papucs'],https://www.imdb.com/title/tt0098426/,Srkny s papucs
tt0098077,movie,Peraustrnia 2004,1990,,"Animation,Sci-Fi",7.4,55,['Peraustrnia 2004'],https://www.imdb.com/title/tt0098077/,Peraustrnia 2004
tt0098634,short,Western,1990,,"Animation,Short,Western",6.8,66,['Western'],https://www.imdb.com/title/tt0098634/,Western
tt0098763,tvSeries,Captain Planet and the Planeteers,1990,1996,"Action,Adventure,Animation",6.7,13320,['Captain Planet and the Planeteers'],https://www.imdb.com/title/tt0098763/,Captain Planet and the Planeteers
tt0098762,tvSeries,The Adventures of Super Mario Bros. 3,1990,1990,"Adventure,Animation,Comedy",7,2113,['The Adventures of Super Mario Bros. 3'],https://www.imdb.com/title/tt0098762/,The Adventures of Super Mario Bros. 3
tt0098752,tvSeries,Bill & Ted's Excellent Adventures,1990,1991,"Adventure,Animation,Comedy",6.4,2036,"[""Bill & Ted's Excellent Adventures""]",https://www.imdb.com/title/tt0098752/,Bill & Ted's Excellent Adventures
tt0098811,tvSeries,Gravedale High,1990,1991,"Animation,Comedy,Family",6.5,270,['Gravedale High'],https://www.imdb.com/title/tt0098811/,Gravedale High
tt0098848,tvSeries,Little Rosey,1990,,"Animation,Comedy,Family",5.7,93,['Little Rosey'],https://www.imdb.com/title/tt0098848/,Little Rosey
tt0098840,tvSeries,Kid 'n' Play,1990,1990,"Adventure,Animation,Comedy",5.8,209,"[""Kid 'n' Play""]",https://www.imdb.com/title/tt0098840/,Kid 'n' Play
